"id","date","time","external_event_id","last_updated","attraction_id"
14398902,2022-06-09,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398903,2022-06-09,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398904,2022-06-09,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398905,2022-06-10,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398906,2022-06-10,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398907,2022-06-10,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398908,2022-06-13,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398909,2022-06-13,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398910,2022-06-13,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398911,2022-06-14,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398912,2022-06-14,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398913,2022-06-14,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398914,2022-06-15,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398915,2022-06-15,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398916,2022-06-15,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398917,2022-06-16,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398918,2022-06-16,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398919,2022-06-16,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398920,2022-06-17,14:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398921,2022-06-17,14:30:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
14398922,2022-06-17,15:00:00,,2022-05-21 00:38:32.797 +0300,"091499a1-b6a6-432d-a788-198f32a51949"
13833973,2022-05-21,10:00:00,,2022-05-21 00:38:32.797 +0300,"1b45ee5c-7f51-4f11-acc2-b092b8fda06e"
13833974,2022-05-21,10:15:00,,2022-05-21 00:38:32.797 +0300,"1b45ee5c-7f51-4f11-acc2-b092b8fda06e"
13833975,2022-05-21,10:30:00,,2022-05-21 00:38:32.797 +0300,"1b45ee5c-7f51-4f11-acc2-b092b8fda06e"
