"uuid","created_at","last_updated","title","description","translation_status","native_name","native_about","address","geolocation","main_photo_url","inventory_supplier","external_id","food_chain","website","rating","number_of_reviews","categories_list","external_city_name","city_id","native_language"
"96c81840-cce1-411d-a774-79fa6ed17118",2022-04-04 01:56:56.442 +0300,2022-04-04 01:22:40.648 +0300,La Parrilla Mexican Restaurant,"Mexican fare in a festive setting. Colorful, family-friendly chain serving a variety of Mexican dishes & margaritas.",,,,"7804 Abercorn Extention, Savannah, GA 31406",POINT (-81.1172528 32.0040028),https://lh5.googleusercontent.com/p/AF1QipMxsZUHEvK0Ux8MHXZTCMsKHce87m0TbQmQXppv=w1134-h552-k-no,Google Places,ChIJ5bnD5qp1-4gRAuzzE89K2gg,,http://www.laparrilla.com/,4.2,1713,"'{""restaurant""}'",Berlin,,
"794f9d48-3b52-4ec9-9051-10809d95cf2f",2022-04-04 01:56:56.442 +0300,2022-04-04 01:22:40.648 +0300,La Nopalera Mexican Restaurant,"",,,,"108 Mall Blvd, Savannah, GA 31406",POINT (-81.11473 32.005781999999996),https://lh5.googleusercontent.com/p/AF1QipPDBuRFhiMlRgJhuPA4C63dm2uDDkKpa-TJhF_S=w732-h552-k-no,Google Places,ChIJMWRUT6l1-4gRYvzIm6t9gdM,,http://lanop.com/,4.3,1203,"'{""restaurant""}'",Berlin,,
a3f07b3d-509b-46a3-9066-de685a667213,2022-04-04 01:56:56.932 +0300,2022-04-04 01:22:40.648 +0300,EL SAZÓN BAR & GRILL,"",,,,"492 Jimmy Deloach Pkwy Ste 103, Savannah, GA 31407",POINT (-81.2309038 32.1652594),https://lh5.googleusercontent.com/p/AF1QipMIU2FIoW4Ct7loVUYaHc3kMDnJjrdLanpvwXJR=w732-h552-k-no,Google Places,ChIJGQMiP0uj-4gReA1gvmSK6Nc,,http://www.elsazonbarandgrill.com/,4.4,333,"'{""restaurant""}'",Berlin,,
"9de79e80-11b4-475e-93c8-8bc0e65bbc1f",2022-04-04 01:56:56.442 +0300,2022-04-04 01:22:40.648 +0300,Jalapeños | Authentic Mexican Grill,Laid-back cantina serving classic meals. Casual restaurant dishing up traditional dishes on colorful plates & margarita cocktails.,,,,"8840 Abercorn St STE 5, Savannah, GA 31406",POINT (-81.1278383 31.9966044),https://lh5.googleusercontent.com/p/AF1QipN6e9P3kqZd923dtThtcHkfCvaUVKEAoC1aAaq5=w732-h552-k-no,Google Places,ChIJL5qCAP10-4gRrfw8kNfQ8ZM,,https://www.jalapenosinc.com/,4.3,1471,"'{""restaurant""}'",Berlin,,
"5816c698-7603-49cd-b363-906103e3485b",2022-03-28 13:15:37.564 +0300,2022-04-04 01:22:40.648 +0300,Pizza Max Berlin Mitte,"",,,,"Wilhelmstraße 23, 10963 Berlin, Germany",POINT (13.3879699 52.5040117),https://lh5.googleusercontent.com/p/AF1QipNwae6SwXMEbkp5NSHMhTNKcqvXh-cQbmN-FIaN=w978-h552-k-no,Google Places,ChIJkU9eANNRqEcR8Zll89i87rM,,https://www.pizzamax.de/berlin-mitte-kreuzberg/?utm_medium=organic&utm_source=mybusiness-berlin-mitte-kreuzberg,3.6,101,"'{""restaurant""}'",Berlin,,
"40154363-62e2-4a95-89f4-742e953e268a",2022-03-28 13:15:37.973 +0300,2022-04-04 01:22:40.648 +0300,Papa Pane di Sorrento,"Cozy Italian eatery renowned for pizzas. Subtly lit Italian restaurant with a wood-fired pizza oven, arched windows & a dark wood ceiling.",,,,"Ackerstraße 23, 10115 Berlin, Germany",POINT (13.3963886 52.5321231),https://lh5.googleusercontent.com/p/AF1QipN8eGWz-XL2M93T9tkO2We57_6IhJC4GmEwGioe=w480-h636-k-no,Google Places,ChIJka_69O9RqEcRv_U5wUT_obE,,https://papapane.de/,4.3,2513,"'{""restaurant""}'",Berlin,,
"539458b9-3502-487f-887c-ca2606afab83",2022-04-04 01:56:58.687 +0300,2022-04-04 01:22:40.648 +0300,Pizza Scheune,"",,,,"Rosa-Luxemburg-Straße 49, 10178 Berlin, Germany",POINT (13.4099983 52.5280443),https://lh5.googleusercontent.com/p/AF1QipPyOmFuhSSjuZR1cfJHzhTpwMZ3kfezIArLbjLe=w480-h636-k-no,Google Places,ChIJDUcqXLhRqEcRjxTlg6ACSPM,,https://pizza-scheune.de/,3.8,215,"'{""restaurant""}'",Berlin,,
f085fe86-1a0d-4718-a07a-7a6da221ca8d,2022-04-04 01:56:59.164 +0300,2022-04-04 01:22:40.648 +0300,Pergamon Döner&Pizza,"",,,,"Dircksenstr. 2, 10178 Berlin, Germany",POINT (13.4116334 52.5210164),https://lh5.googleusercontent.com/p/AF1QipMU1IGuWEwjoxGOBFOAi6TOwLoofGfCKhMhmKeV=w978-h552-k-no,Google Places,ChIJE0psoh9OqEcRe3p8_ZhJ9vU,,http://www.pergamongrill.de/,3.6,804,"'{""restaurant""}'",Berlin,,
e9416c9e-434a-4c33-a8e0-b356de0a4ec3,2022-04-04 01:56:59.164 +0300,2022-04-04 01:22:40.648 +0300,Oregano Pizza Imbiss,"",,,,"Oranienstraße 19A, 10999 Berlin, Germany",POINT (13.4221063 52.500603299999995),https://lh5.googleusercontent.com/p/AF1QipPs-vAK899MPM3r9iM5IIOlG-mx-UDidge98etY=w480-h636-k-no,Google Places,ChIJgb5-WzROqEcR_KdxQoJeFK8,,,4.1,130,"'{""restaurant""}'",Berlin,,
"058c3e1a-2778-4194-96eb-a0920fff45d4",2022-03-28 13:15:39.189 +0300,2022-04-04 01:22:40.648 +0300,Da Vinci Pizza - Pasta - Salate,"",,,,"Derfflingerstraße 19, 10785 Berlin, Germany",POINT (13.356235 52.502626),https://lh5.googleusercontent.com/p/AF1QipN6Dvxj7O274ASISj0v_xVUQTdF2pUp_vLnSIHV=w480-h636-k-no,Google Places,ChIJq1Tg7kxQqEcRKmEFmXcxdNU,,http://da-vinci-pizza-pasta-salate.business.site/,4.4,208,"'{""restaurant""}'",Berlin,,
"247943cd-a4fd-4b76-8a6f-3b3b15ae64a7",2022-03-28 13:15:39.190 +0300,2022-04-04 01:22:40.648 +0300,Restaurant Loggia,"Simple venue for Italian specialties. Traditional Italian pizza, pasta & antipasti in a cozy dining room with brick accents.",,,,"Ansbacher Str. 11, 10787 Berlin, Germany",POINT (13.3429374 52.5036231),https://lh5.googleusercontent.com/p/AF1QipMDscq3kCX0EHFCpoadeingRi2r0QC0alGUp8LU=w732-h552-k-no,Google Places,ChIJbUtwY1RQqEcRLDiPWqOeLaI,,http://www.loggia-berlin.de/,4.3,489,"'{""restaurant""}'",Berlin,,
